case_id,system_id,source_campaign,initial_bpr,bpr_iter_1,bpr_iter_2,bpr_iter_3,final_bpr,best_bpr,best_iteration,delta_best_vs_initial,improved_any,regressed_any,complete_repair_any,effective_repair_any,first_improvement_iteration,dominant_failure_class,iterations_attempted,iterations_scored
repair__c1_pilot_ollama_behavioral__login_system__qwen2_5_coder_7b__r01,login_system,c1_pilot_ollama_behavioral,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,False,False,False,False,,self_loop_rejected,3,4
repair__c1_pilot_ollama_behavioral__login_system__qwen2_5_coder_7b__r02,login_system,c1_pilot_ollama_behavioral,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,False,False,False,False,,update_no_change,3,4
repair__c1_pilot_ollama_behavioral__login_system__qwen2_5_coder_7b__r03,login_system,c1_pilot_ollama_behavioral,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,False,False,False,False,,duplicate_transition,3,4
repair__c1_pilot_ollama_behavioral__login_system__qwen2_5_coder_7b__r04,login_system,c1_pilot_ollama_behavioral,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,False,False,False,False,,self_loop_rejected,3,4
repair__c1_pilot_ollama_behavioral__login_system__qwen2_5_coder_7b__r05,login_system,c1_pilot_ollama_behavioral,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,False,False,False,False,,update_no_change,3,4
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r01,vending_machine,c1_pilot_ollama_behavioral,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,False,False,False,False,,duplicate_transition,3,4
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r02,vending_machine,c1_pilot_ollama_behavioral,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,False,False,False,False,,duplicate_transition,3,4
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r03,vending_machine,c1_pilot_ollama_behavioral,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,False,False,False,False,,duplicate_transition,3,4
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r04,vending_machine,c1_pilot_ollama_behavioral,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,False,False,False,False,,duplicate_transition,3,4
repair__c1_pilot_ollama_behavioral__vending_machine__qwen2_5_coder_7b__r05,vending_machine,c1_pilot_ollama_behavioral,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,False,False,False,False,,duplicate_transition,3,4
